"NAME","MEETINGNAME__C","MEETINGNO__C","TT_TIMESTAMPBYL__C","TT_NAMEFORTICKET__C","TT_STARTDATE__C","TT_ENDDATE__C","TT_CANCEL__C","TT_ITEMNAME__C","TT_INTERNALORDERTAXABLE__C","TT_INTERNALORDERNONTAXABLE__C","TT_ACCOUNTCODETAXABLE__C","TT_ACCOUNTCODENONTAXABLE__C","TT_ZETIACODE__C","TT_NUMBEROFINVITEDMEMBEREMPEXCEPT__C","TT_NUMBEROFINVITEDMEMBEREMP__C","TT_SRM_ORDERCLASSIFICATION__C","TT_PLANPERSONBU_NAMEEN__C","TT_PLANPERSONAREANAME__C","TT_PLANPERSONFS_NAME__C","TT_PLANPERSONNAMEKANJI__C","TT_PLANPERSONNAME__C","TT_PLANPERSONEMAIL__C","TT_PLANPERSONMOBILEMAIL__C","TT_PLANPERSONMOBILE__C","TT_PLANPERSONPHONE__C","TT_COSTCENTER__C","TT_ARRANGEPERSONBU_NAMEEN__C","TT_ARRANGEPERSONAREANAME__C","TT_ARRANGEPERSONFS_NAME__C","TT_ARRANGEPERSONNAMEKANJI__C","TT_ARRANGEPERSONNAME__C","TT_ARRANGEPERSONPHONE__C","TT_ARRANGEPERSONEMAIL__C","TT_ARRANGEPERSONMOBILE__C","TT_ARRANGEPERSONMOBILEMAIL__C","TT_BUDGETTAXABLETOTAL__C","TT_BUDGETNONTAXABLETOTAL__C","TT_BUDGETTAXABLEPARTY__C","TT_BUDGETTAXABLEDISCUSSION__C","TT_MEETINGPLACENAME__C","TT_STATUSREQUEST__C","TT_LASTMODIFIEDDATE__C","INVALID__C"
"熊本日赤アイリ－ア説明会2014/3/11","","MTG14-00000005","20140321021633","","20140311","20140311","0","アイリーア","","GDYA00200550","6831200","6844000","","8.0","0.0","0","OPH","西日本","西日本","六車 昇","Muguruma Noboru","noboru.muguruma@bayer.com","byl.0629.6642@docomo.ne.jp","81(90)1581-3501","","YA006S3061","OPH","西日本","西日本","六車 昇","Muguruma Noboru","","noboru.muguruma@bayer.com","81(90)1581-3501","byl.0629.6642@docomo.ne.jp","0.0","20000.0","0.0","0.0","","0.0","2014-03-21T02:16:33.000Z","false"
"ヤーズ配合錠説明会 あそか病院婦人科","","MTG14-00000001","20140320020151","","20140319","20140319","0","ヤーズ","","GDYA00201600","6831200","6844000","","8.0","0.0","0","WHD","東京","東京","木村 佳保里","Kimura Kaori","kaori.kimura@bayer.com","byl.0794.9828@docomo.ne.jp","+81-90-2593-0744","","YA006W4500","WHD","東京","東京","木村 佳保里","Kimura Kaori","","kaori.kimura@bayer.com","+81-90-2593-0744","byl.0794.9828@docomo.ne.jp","0.0","24000.0","0.0","0.0","","0.0","2014-03-20T02:01:51.000Z","false"
"ミレーナ説明会 アイル女性クリニック","","MTG14-00000002","20140320020404","","20140314","20140314","0","ミレーナ","","GDYA00201700","6831200","6844000","","8.0","0.0","0","WHD","東京","東京","木村 佳保里","Kimura Kaori","kaori.kimura@bayer.com","byl.0794.9828@docomo.ne.jp","+81-90-2593-0744","","YA006W4500","WHD","東京","東京","木村 佳保里","Kimura Kaori","","kaori.kimura@bayer.com","+81-90-2593-0744","byl.0794.9828@docomo.ne.jp","0.0","24000.0","0.0","0.0","","0.0","2014-03-20T02:04:04.000Z","false"
"STI　上村病院　説明会","","MTG14-00000003","20140312063341","","20140312","20140312","0","スチバーガ","","GDYA00201350","6831200","6844000","","7.0","0.0","0","ONH","西日本","九州第２","吉田 辰二郎","Yoshida Shinjiro","shinjiro.yoshida@bayer.com","byl.0627.0252@docomo.ne.jp","+81-80-2405-1613","","YA00680000","ONH","西日本","九州第２","吉田 辰二郎","Yoshida Shinjiro","","shinjiro.yoshida@bayer.com","+81-80-2405-1613","byl.0627.0252@docomo.ne.jp","0.0","14700.0","0.0","0.0","","0.0","2014-03-12T06:33:41.000Z","false"
"白井病院アイリーア説明会","","MTG14-00000004","20140327234512","","20140313","20140313","0","アイリーア","","GDYA00200550","6831200","6844000","","49.0","0.0","0","OPH","西日本","西日本","国武 義裕","Kunitake Yoshihiro","yoshihiro.kunitake@bayer.com","byl.0629.9803@docomo.ne.jp","+81-90-1581-3505","","YA006S3061","OPH","西日本","西日本","国武 義裕","Kunitake Yoshihiro","","yoshihiro.kunitake@bayer.com","+81-90-1581-3505","byl.0629.9803@docomo.ne.jp","0.0","89000.0","0.0","0.0","","0.0","2014-03-27T23:45:12.000Z","false"
"三河眼科アイリーア説明会","","MTG14-00000006","20140327235853","","20140318","20140318","0","アイリーア","","GDYA00200550","6831200","6844000","","20.0","0.0","0","OPH","西日本","西日本","国武 義裕","Kunitake Yoshihiro","yoshihiro.kunitake@bayer.com","byl.0629.9803@docomo.ne.jp","+81-90-1581-3505","","YA006S3061","OPH","西日本","西日本","国武 義裕","Kunitake Yoshihiro","","yoshihiro.kunitake@bayer.com","+81-90-1581-3505","byl.0629.9803@docomo.ne.jp","0.0","40000.0","0.0","0.0","","0.0","2014-03-27T23:58:53.000Z","false"
"0319SGGWWアイリーア説明会","","MTG14-00000007","20140320013543","","20140319","20140319","0","アイリーア","","GDYA00200550","6831200","6844000","","6.0","0.0","0","OPH","関東","関東","日浦 博司","Hiura Hiroshi","hiroshi.hiura@bayer.com","byl.0630.2332@docomo.ne.jp","+81-90-5095-7474","","YA006S3011","OPH","関東","関東","日浦 博司","Hiura Hiroshi","","hiroshi.hiura@bayer.com","+81-90-5095-7474","byl.0630.2332@docomo.ne.jp","0.0","18000.0","0.0","0.0","","0.0","2014-03-20T01:35:43.000Z","false"
"スチバーガ製品説明会","","MTG14-00000008","20140312003320","","20140311","20140311","0","スチバーガ","","GDYA00201350","6831200","6844000","","7.0","0.0","0","ONH","西日本","大阪第２","出水 公二","Demizu Kouji","koji.demizu@bayer.com","byl.0630.1751@docomo.ne.jp","+81-90-5095-7502","","YA00680000","ONH","西日本","大阪第２","出水 公二","Demizu Kouji","","koji.demizu@bayer.com","+81-90-5095-7502","byl.0630.1751@docomo.ne.jp","0.0","21000.0","0.0","0.0","","0.0","2014-03-12T00:33:20.000Z","false"
"NEX HCC製品紹介","","MTG14-00000009","20140318124157","","20140314","20140314","0","ネクサバール","","GDYA00201200","6831200","6844000","","8.0","0.0","0","ONH","西日本","大阪第２","前田 世之助","Maeda Yonosuke","yonosuke.maeda@bayer.com","byl.0629.6731@docomo.ne.jp","81(90)1581-3354","","YA00680000","ONH","西日本","大阪第２","前田 世之助","Maeda Yonosuke","","yonosuke.maeda@bayer.com","81(90)1581-3354","byl.0629.6731@docomo.ne.jp","0.0","24000.0","0.0","0.0","","0.0","2014-03-18T12:41:57.000Z","false"
"ＣＲＶＯ説明会","アイリーアＣＲＶＯ説明会","MTG14-00000010","20140317005141","","20140312","20140312","0","ＣＲＶＯ","","GDYA00200550","6831200","6844000","","14.0","0.0","0","OPH","東日本","東日本","山本 靖樹","Yamamoto Yasuki","yasuki.yamamoto@bayer.com","byl.0630.3010@docomo.ne.jp","81(90)5095-7521","","YA006S4000","OPH","東日本","東日本","山本 靖樹","Yamamoto Yasuki","","yasuki.yamamoto@bayer.com","81(90)5095-7521","byl.0630.3010@docomo.ne.jp","0.0","42000.0","0.0","0.0","","0.0","2014-03-17T00:51:41.000Z","false"
"北里大学CRVO適応追加説明会","","MTG14-00000011","20140320084334","","20140311","20140311","0","アイリーア","","GDYA00200550","6831200","6844000","","10.0","0.0","0","OPH","関東","関東","布施 佐恵子","Fuse Saeko","saeko.fuse@bayer.com","byl.0797.2900@docomo.ne.jp","+81-90-1891-7174","","YA006S3011","OPH","関東","関東","布施 佐恵子","Fuse Saeko","","saeko.fuse@bayer.com","+81-90-1891-7174","byl.0797.2900@docomo.ne.jp","0.0","30000.0","0.0","0.0","","0.0","2014-03-20T08:43:34.000Z","false"
"ヤーズ配合錠説明会～EP剤を安全にお使い頂くために～","","MTG14-00000012","20140324134909","","20140313","20140313","0","ヤーズ","","GDYA00201600","6831200","6844000","","20.0","0.0","0","WHD","関西","関西","田原 詩歩","Tabara Shiho","shiho.tabara@bayer.com","byl.0802.2507@docomo.ne.jp","+81-80-2548-0859","","YA006W4500","WHD","関西","関西","田原 詩歩","Tabara Shiho","","shiho.tabara@bayer.com","+81-80-2548-0859","byl.0802.2507@docomo.ne.jp","0.0","60000.0","0.0","0.0","","0.0","2014-03-24T13:49:09.000Z","false"
"福井エリア　スチバーガセミナー","","MTG14-00000013","20140402015957","","20140620","20140620","0","スチバーガ","G3YA00201350","GDYA00201350","6831200","6844000","","50.0","0.0","0","ONH","西日本","京滋北陸","日下 好典","Kusaka Yoshinori","yoshinori.kusaka@bayer.com","byl.0606.2722@docomo.ne.jp","81(90)5258-5280","81(52)962-0566","YA00680000","ONH","西日本","京滋北陸","日下 好典","Kusaka Yoshinori","81(52)962-0566","yoshinori.kusaka@bayer.com","81(90)5258-5280","byl.0606.2722@docomo.ne.jp","1000000.0","700000.0","0.0","1000000.0","ユアーズホテル福井","0.0","2014-04-02T01:59:57.000Z","false"
"イオパミロン安全性に関する説明会","","MTG14-00000014","20140715010746","","20140311","20140311","0","イオパミロン","","GDYA65200100","6831200","6844000","","10.0","0.0","0","R&I","東日本","北海道","櫻井 孝明","Sakurai Takaaki","takaaki.sakurai@bayer.com.fullsand","byl.0629.8947@docomofull.ne.jp","81(90)1581-3006","","YA006D6161","R&I","東日本","北海道","櫻井 孝明","Sakurai Takaaki","","takaaki.sakurai@bayer.com.fullsand","81(90)1581-3006","byl.0629.8947@docomofull.ne.jp","0.0","20000.0","0.0","0.0","","0.0","2014-07-15T01:07:46.000Z","false"
"済生会　小樽　イオパミロン　3/26","","MTG14-00000015","20140310072711","","20140326","20140326","0","イオパミロン","","GDYA65200100","6831200","6844000","","10.0","0.0","0","R&I","東日本","北海道","小野 祐二","Ono Yuji","yuji.ono@bayer.com","byl.0629.6243@docomo.ne.jp","81(90)1581-3563","","YA006D6161","R&I","東日本","北海道","小野 祐二","Ono Yuji","","yuji.ono@bayer.com","81(90)1581-3563","byl.0629.6243@docomo.ne.jp","0.0","20000.0","0.0","0.0","","0.0","2014-03-10T07:27:11.000Z","false"
"王子総合病院","","MTG14-00000019","20140310073643","","20140313","20140313","0","イオパミロン","","GDYA65200100","6831200","6844000","","1.0","0.0","0","R&I","東日本","北海道","小野 祐二","Ono Yuji","yuji.ono@bayer.com","byl.0629.6243@docomo.ne.jp","81(90)1581-3563","","YA006D6161","R&I","東日本","北海道","小野 祐二","Ono Yuji","","yuji.ono@bayer.com","81(90)1581-3563","byl.0629.6243@docomo.ne.jp","0.0","0.0","0.0","0.0","","0.0","2014-03-10T07:36:43.000Z","false"
"マグネビスト1億2千万症例","マグネビスト説明会","MTG14-00000016","20140310072942","","20140317","20140317","0","マグネビスト","","GDYA65200200","6831200","6844000","","30.0","0.0","0","R&I","東日本","北海道","櫻井 孝明","Sakurai Takaaki","takaaki.sakurai@bayer.com","byl.0629.8947@docomo.ne.jp","81(90)1581-3006","","YA006D6161","R&I","東日本","北海道","櫻井 孝明","Sakurai Takaaki","","takaaki.sakurai@bayer.com","81(90)1581-3006","byl.0629.8947@docomo.ne.jp","0.0","60000.0","0.0","0.0","","0.0","2014-03-10T07:29:42.000Z","false"
"ISV300　説明会","","MTG14-00000017","20140310073339","","20140317","20140317","0","イソビスト","","GDYA65200400","6831200","6844000","","8.0","0.0","0","R&I","東日本","北海道","美濃 俊文","Mino Toshifumi","toshifumi.mino@bayer.com","byl.0630.0372@docomo.ne.jp","81(90)1581-3202","","YA006D6161","R&I","東日本","北海道","美濃 俊文","Mino Toshifumi","","toshifumi.mino@bayer.com","81(90)1581-3202","byl.0630.0372@docomo.ne.jp","0.0","2000.0","0.0","0.0","","0.0","2014-03-10T07:33:39.000Z","false"
"イオパミロン説明会","","MTG14-00000018","20140310073330","","20140327","20140327","0","イオパミロン","","GDYA65200100","6831200","6844000","","5.0","0.0","0","R&I","東日本","北海道","櫻井 孝明","Sakurai Takaaki","takaaki.sakurai@bayer.com","byl.0629.8947@docomo.ne.jp","81(90)1581-3006","","YA006D6161","R&I","東日本","北海道","櫻井 孝明","Sakurai Takaaki","","takaaki.sakurai@bayer.com","81(90)1581-3006","byl.0629.8947@docomo.ne.jp","0.0","5000.0","0.0","0.0","","0.0","2014-03-10T07:33:30.000Z","false"
"20140311札幌東徳洲会Ｘ科ＸＴ科躯幹部ＣＴ","20140311札幌東徳洲会Ｘ科ＸＴ科躯幹部ＣＴ","MTG14-00000020","20140310073726","","20140311","20140311","0","イオパミロン","","GDYA65200100","6831200","6844000","","10.0","0.0","0","R&I","東日本","北海道","松本 義隆","Matsumoto Yoshitaka","yoshitaka.matsumoto@bayer.com","byl.0630.0127@docomo.ne.jp","81(90)1581-3010","","YA006D6161","R&I","東日本","北海道","松本 義隆","Matsumoto Yoshitaka","","yoshitaka.matsumoto@bayer.com","81(90)1581-3010","byl.0630.0127@docomo.ne.jp","0.0","0.0","0.0","0.0","","0.0","2014-03-10T07:37:26.000Z","false"
"余市協会　心臓CTA　3月19日","","MTG14-00000021","20140310074127","","20140319","20140319","0","イオパミロン","","GDYA65200100","6831200","6844000","","0.0","0.0","0","R&I","東日本","北海道","小野 祐二","Ono Yuji","yuji.ono@bayer.com","byl.0629.6243@docomo.ne.jp","81(90)1581-3563","","YA006D6161","R&I","東日本","北海道","小野 祐二","Ono Yuji","","yuji.ono@bayer.com","81(90)1581-3563","byl.0629.6243@docomo.ne.jp","0.0","0.0","0.0","0.0","","0.0","2014-03-10T07:41:27.000Z","false"
"画像診断ガイドラインについて","","MTG14-00000022","20140310074447","","20140318","20140318","0","イオパミロン","","GDYA65200100","6831200","6844000","","0.0","0.0","0","R&I","東日本","北海道","美濃 俊文","Mino Toshifumi","toshifumi.mino@bayer.com","byl.0630.0372@docomo.ne.jp","81(90)1581-3202","","YA006D6161","R&I","東日本","北海道","美濃 俊文","Mino Toshifumi","","toshifumi.mino@bayer.com","81(90)1581-3202","byl.0630.0372@docomo.ne.jp","0.0","0.0","0.0","0.0","","0.0","2014-03-10T07:44:47.000Z","false"
